"","Babacomari.Series","Chihuahuan.Series","Chuska.White.Ware","Cibola.White.Ware","Early.White.Mountain.Red.Ware","Hopi.White.Ware","Jeddito.Orange.Ware","Jornada.Mogollon.Brown.Ware","Kintiel.Klagetoh.Ware","Late.White.Mountain.Red.Ware","Lower.Colorado.Buff.Ware","Maverick.Mountain.Series","Mesa.Verde.White.Ware","Middle.Gila.Buff.Ware.and.Gray.Ware","Mogollon.Brown.Ware","Prescott.Gray.Ware","Rio.Grande.White.Ware","Roosevelt.Red.Ware","Salado.Series","San.Carlos.Brown.Ware","Tizon.Brown.Ware","Tsegi.Orange.Ware","Tucson.Basin.Brown.Ware","Tusayan.White.Ware","Winslow.Orange.Ware","Zuni.Glaze.Ware"
"Jackrabbit",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132.13,0,0,0
"Casa Grande",0,0.18,0,2.2,0,0,0.42,0,0,0.41,0,0.47,0,10157.48,1.85,0,0,0,0,2.81,0,0,92.47,0,0,0
"Las Colinas",0,0,0,5.2,0,0,0.39,0,0,0,761.61,0,0,3872.53,0,14.1,0,0,0,8.6,0,87.88,621,98.86,0,0
"Whiptail Ruin",0,0.77,0,20.7,2.25,0,0,0,0,0,0.53,0,0,3.7,0.34,0,0,2,0,23,0,0,12577.91,0,0,0
"Tanque Verde Village",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1330.15,0,0,0
"Brady Wash",0,0,0,6.99,0,0,0,0,0,0,0,0.37,0,816.58,0,0,0,1.81,0.54,1.4,0,0,36.52,0,0,0
"Mendoza Canyon",0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,65.59,0,0,0
"Escalante",0,0,0,0,0,0,0,0,0,0,0,0,0,523.05,0,0,0,0,0,0,0,0,0,0,0,0
"Las Acequias",0,0,0,0,0,0,0,0,0,0,0,0,0,461.62,0,0,0,0,0,0,0,0,0,0,0,0
"Dakota Wash",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.01,0,0,0
"Hodges Ruin",0,0,0,0,0,0,0,0,0,0,0,0,0,7.85,0.29,0.44,0,0,0,0,0,0,227.27,0,0,0
"Romero Ruin",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,23.95,0,0,0
"Los Morteros",0,0,0,2.05,0,0,0,0,0,0,0,0,0,9.89,0,0,0,0,0,15,0,0,4821.28,0,0,0
"Casa Buena",0,0,0,0,0,0,0,0,0,0,0,0,0,99.41,0,0,0,0,0,0,0,0,0,0,0,0
"Kuykendall",0.72,44.27,0,0,3.61,0,0,356.05,0,0,0,1.46,0,0,0,0,0,0.92,0,1.19,0,0,1.45,0,0,0
"Kimble Ranch/Glass Ranch",0,14,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Curtis Ruin(Buena Vista)",0,0,0,1.47,2.8,0,0,0,0,0.26,0,2.69,0,3.23,0.57,0,0,0,0,0,0,0,0,0,0,0.03
"Fort Grant Pueblo",0,0,0,0,5,0,0,0,0,0.09,0,9.97,0,0,0,0,0,2.58,0,0.03,0,0,0,0,0,0.01
"Drip",0,0,0,0,0,0,0,0,0,0,32.74,0,0,19.55,0,0,0,0,0,0,0,0,0.52,0,0,0
"Twin Towers",0,0,10.22,1.71,2.66,0,0,0,0,0,0,0,172.51,0,0,0,0,0,0,0,0,4.08,0,0.38,0,0
"Juniper Terrace",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.32,0,0,0,0,0,18.56,0,117.37,0,0
"Two Kivas",0,0,0,0.94,18.3,0,3,0,3,2,0,0,0,0,2.44,0,0,0,0,0,0,33.83,0,420.9,2,0
"Atsee Nitsaa",0,0,0,49,6.5,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Tuzigoot",0,0,0,1.83,0.62,0,81.55,0,3,17.71,0,0,0,0,0,79.3,0,0,0,0,9.75,11.41,0,44.45,43.66,3.95
"Roosevelt 9:13",0,0,0,3.81,0.59,0,0,0,0,0,0,0,0,0,0.76,0,0,0,0,0,0,0,0.6,0,0,0
"Crescent Site",0,0,0,0,0,0,0,0,0,0.02,0,2.57,0,0.1,1,0,0,4.31,0,0,0,0,0,0,0,0
"Rattlesnake Mesa",0,0,0,0,0,0,0,0,0,0,0,1.36,0,0,1,0,0,3.19,0,0.07,0,0,0,0,0,0
"Earven Flat Site",0,0,0,23.8,1.03,0,0,0,0,0,0,0,0,46.72,6.83,0,0,0,0,2,0,0,0,0,0,0
"AZ CC:2:185",0,0,0,0,0,0,0,0,0,0,0,9.05,0,2.34,0,0,0,0.84,0,4.62,0,0,0,0,0,0
"Danson 481",0,0,0,419.54,198.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rabid Ruin",0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0.25,0,0,0.62,0,0,0,0,338.98,0,0,0
"San Xavier Bridge",1,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5346.29,0,0,0
"Continental Site",0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.74,0,0,0,0,0,0,0,0,1263.44,0,0,0
"Cerro Prieto--Santa Cruz",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.11,0,0,0
"Omawovi",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.76,0,51.46,0,0
"Paaqapa",0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.98,0,272.37,0,0
"Pivanhonkyapi",0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,183,0,0
"LA 76368",0,0,0,37.27,4.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LA 7085",0,0,3.94,1.77,0,0,0,0,0,0,0,0,7.56,0,0,0,0,0,0,0,0,0.12,0,0,0,0
"LA 7791",0,0,7.92,0,0,0,0,0,0,0,0,0,9.72,0,0,0,0,0,0,0,0,0,0,0,0,0
"LA 8532",0,0,13.67,6,20.17,0,0,0,14,0,0,0,5.47,0,0,0,0,0,0,0,0,0,0,0,0,0
"Yuma Wash--Tucson",0,0,0,29.47,0,0,0,0,0,0,0,0,0,4.08,0,0,0.08,2.46,0,1.38,0,0,3744.91,0,0,0
"CS165",0,0,0,19.18,24.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CS195",0,0,0,30.83,87.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LZ1232",0,0,0,19.58,19.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LZ1245",0,0,0,5.56,14.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LZ1307",0,0,0,4.98,5.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LA 47508",0,0,0,9,6.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LA 47515",0,0,0,20,13.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LA 47561",0,0,0,18,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LA 47562",0,0,0,51.29,2.72,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LA 2347",0,0,0,50.09,0.25,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LA 47564",0,0,0,27,1,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"LA 47565",0,0,0,28,2.5,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LA 47581",0,0,0,35,1.16,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LA 47591",0,0,0,34,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FSOP13",0,0,0,6.97,4.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FSOP15",0,0,0,5.69,8.81,0,0,0,0,0,0,0,0,0,0,0,0.26,0,0,0,0,0,0,0,0,0
"AZ Q:4:58 (ASM)",0,0,0,6.42,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Garden Canyon",131,0.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9,0,0,26.52,0,0,0
"Rillito Fan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.12,0,1.32,0,0,60.25,0,0,0
"LA 82683",0,0,0,38.6,153.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LA 82762",0,0,0,17.57,51.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LA 85954",0,0,0,38.85,12.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LA 85796",0,0,0,15.47,21.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LA 85989",0,0,0,15.14,22.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LA 86013",0,0,0,61.05,27.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LA 86027",0,0,0,24.16,8.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LA 86037",0,0,0,14.69,5.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LA 86054",0,0,0,7.86,7.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chodistaas",0,0,0,33,1,0,0,0,0,0,0,0,0,0,4,0,0,21,2,0,0,0,0,0,0,0
"Veteado Pueblo",0,0,0,36.02,107,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
