"","Babacomari.Series","Chihuahuan.Series","Chuska.White.Ware","Cibola.White.Ware","Early.White.Mountain.Red.Ware","Hopi.White.Ware","Jeddito.Orange.Ware","Jornada.Mogollon.Brown.Ware","Kintiel.Klagetoh.Ware","Late.White.Mountain.Red.Ware","Lower.Colorado.Buff.Ware","Maverick.Mountain.Series","Mesa.Verde.White.Ware","Middle.Gila.Buff.Ware.and.Gray.Ware","Mogollon.Brown.Ware","Prescott.Gray.Ware","Rio.Grande.White.Ware","Roosevelt.Red.Ware","Salado.Series","San.Carlos.Brown.Ware","Tizon.Brown.Ware","Tsegi.Orange.Ware","Tucson.Basin.Brown.Ware","Tusayan.White.Ware","Winslow.Orange.Ware","Zuni.Glaze.Ware"
"Double Adobe",0,44.11,0,0,3,0,0,9.78,0,0,0,0,0,0,0,0,9.02,0,0,0,0,0,0,0,0,0
"Saddle Bronc",0,30.12,0,0,10,0,0,7.74,0,0,0,0,0,0.5,0,0,0.37,0,0,0,0,0,0,0,0,0
"Kello Blancett",0,0,0,0,0.1,0,0,0,0,0,0,0,19.4,0,0,0,0,0,0,0,0,0,0,0,0,0
"Morris Old Fort",0,0,0,7.76,0.62,0,0,0,0,0,0,0,8.11,0,0,0,0,0,0,0,0,0,0,0,0,0
"LA 100068",0,0,0,0.27,1.27,0,0,0,0,0,0,0,20.45,0,0,0,0,0,0,0,0,0.14,0,0,0,0
"LA 100069",0,0,0,26.36,0,0,0,0,0,0,0,0,0.34,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kinishba",0,0,0,23.14,1,0,0,0,0,4.49,0,3.4,0,0,7.38,0,0,7.61,0,0,0,0,0,4,0,0.45
"Awatovi",0,0,0,0,0,0,161.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.89,0,12.09,0,0
"Heshoda Yala:wa",0,0,0,40.33,42.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Archeotekopa II",0,0,0,142,375,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
"Techado Spring",0,0,0,299.56,558.38,0,0,0,0,9,0,0,0,0,0.99,0,1.55,0,0,0,0,0,0,0.46,0,14.46
"Jaralosa",0,0,0,200.99,118.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fort Site",0,0,0,67,74,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4
"Horse Camp Mill",0,0,0,2861.44,771.12,0,0,0,2,12.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.98
"Hinkson Ranch",0,0,0,1754.71,629.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
